id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
872961,GA,INDIVIDUAL,5 years,Department of Homeland Security- ICE,D,MORTGAGE,11-09-2021,16-05-2021,14-03-2021,Fully Paid,14-04-2021,1087244,other,D3," 36 months",Verified,85000,0.2269,594.72,0.1649,16800,39,21244
829630,PA,INDIVIDUAL,10+ years,Ally Financial,E,MORTGAGE,11-07-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,1038742,other,E3," 36 months",Verified,99996,0.088,175.44,0.1879,4800,22,6316
515213,NJ,INDIVIDUAL,< 1 year,Raritan Bay Medical Center,E,MORTGAGE,10-05-2021,13-06-2021,13-05-2021,Fully Paid,13-06-2021,665999,other,E2," 36 months",Verified,78300,0.1318,533.45,0.1682,15000,8,19205
377376,NJ,INDIVIDUAL,5 years,perlmart shoprite,E,MORTGAGE,09-02-2021,12-02-2021,12-03-2021,Fully Paid,12-04-2021,401484,other,E5," 36 months",Verified,110000,0.1495,178.14,0.1695,5000,22,6413
723964,TX,INDIVIDUAL,3 years,UT Southwestern Medical Center,E,MORTGAGE,11-04-2021,16-02-2021,12-04-2021,Fully Paid,12-05-2021,919022,other,E3," 36 months",Verified,200000,0.1547,1250.29,0.1714,35000,58,40257
428601,LA,INDIVIDUAL,8 years,EPS,E,MORTGAGE,09-07-2021,10-06-2021,10-06-2021,Fully Paid,10-07-2021,507319,other,E1," 36 months",Verified,117000,0.0602,490.03,0.1568,14000,8,15498
507364,MI,INDIVIDUAL,10+ years,ENCO Systems  Inc,E,MORTGAGE,10-04-2021,15-12-2021,13-05-2021,Fully Paid,13-06-2021,654349,other,E1," 36 months",Verified,75000,0.1082,707.55,0.1645,20000,28,25473
375510,MD,INDIVIDUAL,2 years,Bank of America Corp.,E,MORTGAGE,09-02-2021,15-07-2021,11-12-2021,Fully Paid,11-01-2022,397802,other,E5," 36 months",Verified,249000,0.0846,285.02,0.1695,8000,33,10285
889781,WA,INDIVIDUAL,3 years,Safeway,F,MORTGAGE,11-09-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,1106345,other,F2," 36 months",Verified,110400,0.242,370.63,0.2128,9800,46,10941
609157,VA,INDIVIDUAL,10+ years,Carilion Clinic,F,MORTGAGE,10-11-2021,13-07-2021,13-06-2021,Fully Paid,13-07-2021,781369,other,F2," 36 months",Verified,106000,0.1229,362.38,0.1817,10000,24,12967
838123,MO,INDIVIDUAL,9 years,VA Hospital,B,MORTGAGE,11-08-2021,16-04-2021,13-03-2021,Fully Paid,13-04-2021,1048181,other,B3," 36 months",Verified,62000,0.2342,278.24,0.1099,8500,33,9608
635319,IL,INDIVIDUAL,10+ years,Walmart,C,MORTGAGE,10-12-2021,13-02-2021,13-02-2021,Fully Paid,13-03-2021,813861,other,C2," 36 months",Verified,30000,0.004,67.02,0.1261,2000,3,2368
891165,MA,INDIVIDUAL,10+ years,landmark school,C,MORTGAGE,11-09-2021,14-10-2021,14-10-2021,Fully Paid,14-11-2021,1088580,other,C2," 36 months",Verified,48000,0.066,468.25,0.1349,13800,15,16857
363247,CA,INDIVIDUAL,10+ years,Southern California Gas Co,C,OTHER,08-11-2021,16-05-2021,10-06-2021,Fully Paid,10-07-2021,373081,other,C2," 36 months",Verified,82656,0.1806,199.55,0.1209,6000,34,6862
815082,FL,INDIVIDUAL,1 year,Sherwin Williams,A,OWN,11-07-2021,16-04-2021,14-08-2021,Fully Paid,14-09-2021,1022676,other,A4," 36 months",Verified,18000,0.2893,108.86,0.0749,3500,8,3919
355680,TX,INDIVIDUAL,10+ years,Retired,A,OWN,08-09-2021,11-09-2021,11-09-2021,Fully Paid,11-10-2021,358791,other,A1," 36 months",Verified,77367,0.0074,31.05,0.0737,1000,27,1118
870390,DE,INDIVIDUAL,10+ years,l.f. driscoll co,A,OWN,11-09-2021,14-09-2021,14-10-2021,Fully Paid,14-11-2021,1084347,other,A2," 36 months",Verified,153936,0.1181,614.08,0.0662,20000,37,22107
