id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
822534,OH,INDIVIDUAL,10+ years,CHIEF Grocery,A,RENT,11-07-2021,14-08-2021,14-08-2021,Fully Paid,14-09-2021,1030978,Debt consolidation,A4," 36 months",Source Verified,54000,0.1091,264.37,0.0749,8500,7,9517
660987,CA,INDIVIDUAL,10+ years,Deyette McCloskey & Assoc,A,RENT,11-01-2021,16-05-2021,13-05-2021,Fully Paid,13-06-2021,845359,Debt consolidation,A4," 36 months",Source Verified,35400,0.2295,372.12,0.0729,12000,12,13297
589345,NY,INDIVIDUAL,10+ years,ubs financial services inc,A,RENT,10-10-2021,16-01-2021,12-04-2021,Fully Paid,12-05-2021,757100,Debt consolidation,A5," 36 months",Source Verified,889000,0.0092,625.63,0.0788,20000,26,21850
663451,CA,INDIVIDUAL,2 years,McCollum Wellness Center,A,RENT,11-02-2021,15-06-2021,14-02-2021,Fully Paid,14-03-2021,848348,Debt consolidation,A2," 36 months",Source Verified,30000,0.2216,194.1,0.0579,6400,11,6987
970237,MI,INDIVIDUAL,2 years,Tim Hortons,A,RENT,11-10-2021,16-03-2021,13-08-2021,Fully Paid,13-09-2021,1191481,Debt consolidation,A2," 36 months",Source Verified,18000,0.1787,184.23,0.0662,6000,18,6528
640478,MD,INDIVIDUAL,2 years,LG-Tek,A,RENT,11-01-2021,16-05-2021,12-06-2021,Fully Paid,12-07-2021,819909,Debt consolidation,A3," 36 months",Source Verified,57000,0.1141,289.75,0.0617,9500,21,10158
707056,NJ,INDIVIDUAL,2 years,Fisher Scientific,A,RENT,11-03-2021,16-05-2021,14-04-2021,Fully Paid,14-05-2021,899360,Debt consolidation,A3," 36 months",Source Verified,50004,0.0528,123.37,0.0692,4000,13,4441
890699,MA,INDIVIDUAL,2 years,boston volvo village,A,RENT,11-09-2021,15-09-2021,14-10-2021,Fully Paid,14-11-2021,1107453,Debt consolidation,A3," 36 months",Source Verified,50000,0.1003,622.22,0.0751,20000,23,22400
1000579,FL,INDIVIDUAL,2 years,Carrier Enterprise,A,RENT,11-11-2021,16-05-2021,14-03-2021,Fully Paid,14-04-2021,1225822,Debt consolidation,A3," 36 months",Source Verified,45000,0.2344,311.11,0.0751,10000,19,11131
833467,WA,INDIVIDUAL,2 years,Yakima Valley Credit Union,A,RENT,11-08-2021,16-02-2021,12-11-2021,Fully Paid,12-12-2021,1043072,Debt consolidation,A4," 36 months",Source Verified,30996,0.2474,174.17,0.0749,5600,15,5928
