id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
890935,VA,INDIVIDUAL,10+ years,Philip Morris,E,MORTGAGE,11-10-2021,16-05-2021,16-05-2021,Current,16-06-2021,1107652,Debt consolidation,E5," 60 months",Source Verified,52800,0.1636,485.24,0.203,18200,17,26654
998689,CO,INDIVIDUAL,10+ years,ePlan Services Inc,E,MORTGAGE,11-10-2021,16-04-2021,16-05-2021,Current,16-06-2021,1223863,Debt consolidation,E1," 60 months",Source Verified,80000,0.12,329.51,0.1864,12800,21,17766
968937,KY,INDIVIDUAL,10+ years,CORNING INCORPORATED,E,MORTGAGE,11-10-2021,16-05-2021,16-05-2021,Current,16-06-2021,1190340,Debt consolidation,E4," 60 months",Source Verified,60000,0.2288,497.15,0.1991,18800,21,27334
1048681,WA,INDIVIDUAL,10+ years,Brim Tractor Co,E,MORTGAGE,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1279645,Debt consolidation,E4," 60 months",Source Verified,47000,0.1131,370.22,0.1991,14000,18,19609
831274,WY,INDIVIDUAL,6 years,solvay chemicals,E,MORTGAGE,11-07-2021,16-05-2021,16-05-2021,Current,16-06-2021,1019524,Debt consolidation,E1," 60 months",Source Verified,85000,0.0151,431.6,0.1799,17000,6,24585
1024670,MA,INDIVIDUAL,10+ years,Siemens,E,MORTGAGE,11-11-2021,16-04-2021,16-05-2021,Current,16-06-2021,1253783,Debt consolidation,E4," 60 months",Source Verified,173156,0.0965,793.32,0.1991,30000,37,42039
1045159,TX,INDIVIDUAL,6 years,Century Golf Partners Mgmt,E,MORTGAGE,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1275763,Debt consolidation,E3," 60 months",Source Verified,55000,0.1307,471.1,0.1942,18000,34,24942
762192,NJ,INDIVIDUAL,4 years,PSEG Nuclear,E,MORTGAGE,11-06-2021,16-05-2021,16-05-2021,Current,16-06-2021,962700,Debt consolidation,E2," 60 months",Source Verified,80000,0.1047,190.13,0.1839,7425,15,11216
842347,NY,INDIVIDUAL,2 years,GT Electrical,F,MORTGAGE,11-08-2021,16-04-2021,16-05-2021,Current,16-06-2021,1053017,Debt consolidation,F1," 60 months",Source Verified,32000,0.0263,47.94,0.2025,1800,8,2730
762783,OK,INDIVIDUAL,4 years,Department of the Army,F,MORTGAGE,11-05-2021,16-05-2021,16-05-2021,Current,16-06-2021,963343,Debt consolidation,F4," 60 months",Source Verified,78000,0.2318,436.11,0.2136,16000,23,25718
837048,VA,INDIVIDUAL,5 years,Mea Alofa Autism Support Center,F,MORTGAGE,11-08-2021,16-04-2021,16-05-2021,Current,16-06-2021,1047150,Debt consolidation,F1," 60 months",Source Verified,150000,0.1046,799,0.2025,30000,39,45517
883165,MA,INDIVIDUAL,10+ years,new england outdoor wood products,B,OWN,11-09-2021,16-04-2021,16-05-2021,Current,16-06-2021,1098416,Debt consolidation,B2," 60 months",Source Verified,60000,0.1682,280.39,0.1065,13000,16,15364
733727,CA,INDIVIDUAL,5 years,Edwards Lifesciences,D,OWN,11-06-2021,16-05-2021,16-05-2021,Current,16-06-2021,930120,Debt consolidation,D3," 60 months",Source Verified,84875,0.1171,196.64,0.1649,8000,9,11378
891256,CA,INDIVIDUAL,< 1 year,neiman marcus,D,OWN,11-09-2021,16-05-2021,16-05-2021,Current,16-06-2021,1108038,Debt consolidation,D5," 60 months",Source Verified,24996,0.0418,127.65,0.1825,5000,9,6999
786626,MD,INDIVIDUAL,1 year,Performace Radiator,E,OWN,11-06-2021,16-05-2021,16-05-2021,Current,16-06-2021,990035,Debt consolidation,E3," 60 months",Source Verified,24000,0.0555,103.31,0.1879,4000,4,5978
977772,TX,INDIVIDUAL,10+ years,HOME DEPOT,E,OWN,11-11-2021,15-01-2021,16-05-2021,Current,16-06-2021,1200591,Debt consolidation,E2," 60 months",Source Verified,44400,0.1865,648.93,0.1903,25000,14,34993
762048,NY,INDIVIDUAL,9 years,putnam  ridge  nersing   home,E,OWN,11-06-2021,16-04-2021,16-05-2021,Current,16-06-2021,962544,Debt consolidation,E1," 60 months",Source Verified,40000,0.0783,126.94,0.1799,5000,20,7464
854535,MO,INDIVIDUAL,1 year,Morgan Stanley Smith Barney,E,OWN,11-08-2021,16-05-2021,16-05-2021,Current,16-06-2021,1066792,Debt consolidation,E1," 60 months",Source Verified,69000,0.141,172.64,0.1799,6800,10,9677
999834,TX,INDIVIDUAL,10+ years,District Construction LLC,F,OWN,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1225223,Debt consolidation,F1," 60 months",Source Verified,77160,0.0956,944.71,0.2089,35000,44,50970
1014023,NV,INDIVIDUAL,1 year,affinity gamming llc,B,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1241374,Debt consolidation,B5," 60 months",Source Verified,40000,0.2148,361.52,0.1269,16000,10,19475
1048015,NJ,INDIVIDUAL,10+ years,Canon,B,RENT,11-12-2021,16-04-2021,16-05-2021,Current,16-06-2021,1279149,Debt consolidation,B4," 60 months",Source Verified,40000,0.1239,359.32,0.1242,16000,27,18689
860439,CA,INDIVIDUAL,10+ years,USAF,B,RENT,11-08-2021,16-05-2021,16-05-2021,Current,16-06-2021,1073250,Debt consolidation,B5," 60 months",Source Verified,68000,0.1297,311.36,0.1199,14000,16,17412
775418,CA,INDIVIDUAL,2 years,JPMorgan Chase,B,RENT,11-06-2021,16-05-2021,16-05-2021,Current,16-06-2021,977671,Debt consolidation,B3," 60 months",Source Verified,68000,0.1535,391.28,0.1099,18000,15,23054
1019046,CA,INDIVIDUAL,3 years,Quiznos,B,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1247727,Debt consolidation,B4," 60 months",Source Verified,38400,0.0494,139.24,0.1242,6200,11,7510
825319,OH,INDIVIDUAL,3 years,MJM Industries,B,RENT,11-07-2021,16-05-2021,16-05-2021,Current,16-06-2021,1034095,Debt consolidation,B5," 60 months",Source Verified,36000,0.215,266.88,0.1199,12000,17,15197
980336,CA,INDIVIDUAL,5 years,Clean Tahoe Program,B,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1204121,Debt consolidation,B2," 60 months",Source Verified,40000,0.2238,431.37,0.1065,20000,7,23244
809996,NY,INDIVIDUAL,7 years,Viacom/MTV Networks,B,RENT,11-07-2021,16-04-2021,16-05-2021,Current,16-06-2021,1016877,Debt consolidation,B5," 60 months",Source Verified,56000,0.1468,360.84,0.1199,18575,33,20896
967338,NY,INDIVIDUAL,9 years,walmart,B,RENT,11-10-2021,16-05-2021,16-05-2021,Current,16-06-2021,1188265,Debt consolidation,B4," 60 months",Source Verified,87996,0.195,269.49,0.1242,12000,35,14816
1000124,NJ,INDIVIDUAL,5 years,Travelong Inc,B,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1225944,Debt consolidation,B1," 60 months",Source Verified,33204,0.0108,59.37,0.0991,2800,11,3206
856907,OH,INDIVIDUAL,7 years,Cumberland Development,B,RENT,11-08-2021,16-05-2021,16-05-2021,Current,16-06-2021,1069314,Debt consolidation,B5," 60 months",Source Verified,46800,0.0403,444.79,0.1199,20000,12,24880
1033553,CA,INDIVIDUAL,1 year,Los Angeles County,C,RENT,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1263331,Debt consolidation,C1," 60 months",Source Verified,33936,0.1977,322.07,0.1349,14000,9,17053
1028866,UT,INDIVIDUAL,1 year,WebBank,C,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1258220,Debt consolidation,C2," 60 months",Source Verified,120000,0.245,468.17,0.1427,20000,60,24794
1046117,IL,INDIVIDUAL,10+ years,Bradley University,C,RENT,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1277152,Debt consolidation,C2," 60 months",Source Verified,86000,0.2057,786.53,0.1427,33600,18,41674
829594,NY,INDIVIDUAL,10+ years,Proskauer,C,RENT,11-07-2021,16-05-2021,16-05-2021,Current,16-06-2021,1038697,Debt consolidation,C2," 60 months",Source Verified,126000,0.1081,276.06,0.1349,12000,24,15721
1016307,NJ,INDIVIDUAL,5 years,Hill Wallack,C,RENT,11-11-2021,16-05-2021,16-05-2021,Current,16-06-2021,1244012,Debt consolidation,C2," 60 months",Source Verified,53100,0.2285,280.91,0.1427,12000,24,14852
757906,CA,INDIVIDUAL,5 years,Allison & Partners,C,RENT,11-05-2021,16-04-2021,16-05-2021,Current,16-06-2021,958004,Debt consolidation,C2," 60 months",Source Verified,150000,0.1214,506.11,0.1349,22000,36,29839
887363,CA,INDIVIDUAL,6 years,Tomarco Contractor Specialties,C,RENT,11-09-2021,16-05-2021,16-05-2021,Current,16-06-2021,1103460,Debt consolidation,C1," 60 months",Source Verified,25800,0.1019,299.07,0.1349,13000,7,16418
1045100,NY,INDIVIDUAL,7 years,Dime Savings Bank,C,RENT,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1275502,Debt consolidation,C2," 60 months",Source Verified,33000,0.1309,280.91,0.1427,12000,11,14864
988469,NY,INDIVIDUAL,10+ years,New York City Human Resources Admin.,C,RENT,11-10-2021,16-04-2021,16-05-2021,Current,16-06-2021,1212703,Debt consolidation,C5," 60 months",Source Verified,39500,0.0893,145.79,0.1596,6000,11,7880
965249,NJ,INDIVIDUAL,2 years,North Ward Center Inc,C,RENT,11-09-2021,16-05-2021,16-05-2021,Current,16-06-2021,1169262,Debt consolidation,C5," 60 months",Source Verified,56000,0.1262,364.46,0.1596,15000,23,20021
777639,NY,INDIVIDUAL,5 years,Euromoney Institutional Investor,C,RENT,11-06-2021,16-04-2021,16-05-2021,Current,16-06-2021,980158,Debt consolidation,C3," 60 months",Source Verified,90000,0.0697,465.27,0.1399,20000,38,27428
764198,VA,INDIVIDUAL,1 year,URS,C,RENT,11-05-2021,16-05-2021,16-05-2021,Current,16-06-2021,964886,Debt consolidation,C5," 60 months",Source Verified,90000,0.1544,191.29,0.1523,8000,22,11251
787553,MA,INDIVIDUAL,10+ years,barnstable police dept,C,RENT,11-06-2021,16-04-2021,16-05-2021,Current,16-06-2021,991106,Debt consolidation,C2," 60 months",Source Verified,90000,0.1368,345.08,0.1349,15000,34,19979
1030533,SC,INDIVIDUAL,< 1 year,Myrtle Beach Pelicans Baseball Club,C,RENT,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1260121,Debt consolidation,C1," 60 months",Source Verified,50000,0.1061,276.06,0.1349,12000,17,14611
798550,NC,INDIVIDUAL,1 year,Bank of America,D,RENT,11-07-2021,16-05-2021,16-05-2021,Current,16-06-2021,1003678,Debt consolidation,D3," 60 months",Source Verified,84000,0.1504,589.91,0.1649,24000,7,33602
1038738,VT,INDIVIDUAL,1 year,Lang McLaughry Spera,D,RENT,11-12-2021,16-04-2021,16-05-2021,Current,16-06-2021,1268653,Debt consolidation,D5," 60 months",Source Verified,75000,0.2179,329.34,0.1825,12900,23,17433
1053576,OR,INDIVIDUAL,10+ years,craft brew alliance,D,RENT,11-12-2021,16-05-2021,16-05-2021,Current,16-06-2021,1285165,Debt consolidation,D5," 60 months",Source Verified,45000,0.1381,122.55,0.1825,4800,19,6479
